sim,variable,unit,quarter,h,diff
Sim3,INV,%,0010Q4,20,0.48248617768369684
Sim3,EX,%,0006Q1,1,3.6513048164374453
Sim3,EX,%,0006Q2,2,4.107423666662456
Sim3,EX,%,0006Q3,3,3.555088283526999
Sim3,EX,%,0006Q4,4,2.918042245514357
Sim3,EX,%,0007Q1,5,2.4097977195351064
Sim3,EX,%,0007Q2,6,2.0494454240704414
Sim3,EX,%,0007Q3,7,1.809947662023177
Sim3,EX,%,0007Q4,8,1.6499714332216513
Sim3,EX,%,0008Q1,9,1.5494783491490978
Sim3,EX,%,0008Q2,10,1.4843303556687744
Sim3,EX,%,0008Q3,11,1.4454591683402214
Sim3,EX,%,0008Q4,12,1.423491572613429
Sim3,EX,%,0009Q1,13,1.4133650819520938
Sim3,EX,%,0009Q2,14,1.4113846456042438
Sim3,EX,%,0009Q3,15,1.4146785907351216
Sim3,EX,%,0009Q4,16,1.421684904152272
Sim3,EX,%,0010Q1,17,1.4313243304264347
Sim3,EX,%,0010Q2,18,1.4429269955711845
Sim3,EX,%,0010Q3,19,1.4556254610822066
Sim3,EX,%,0010Q4,20,1.4692850923064356
Sim3,IM,%,0006Q1,1,0.8998317162025984
Sim3,IM,%,0006Q2,2,1.7728660838775454
Sim3,IM,%,0006Q3,3,1.891530205070751
Sim3,IM,%,0006Q4,4,1.79046031037862
Sim3,IM,%,0007Q1,5,1.6172404995858756
Sim3,IM,%,0007Q2,6,1.4247746555105039
Sim3,IM,%,0007Q3,7,1.2619273345366082
Sim3,IM,%,0007Q4,8,1.1747267589437485
Sim3,IM,%,0008Q1,9,1.119351454693799
Sim3,IM,%,0008Q2,10,1.092940060835005
Sim3,IM,%,0008Q3,11,1.08786029407581
Sim3,IM,%,0008Q4,12,1.0984038254260469
Sim3,IM,%,0009Q1,13,1.1199028740935404
Sim3,IM,%,0009Q2,14,1.147460987916162
Sim3,IM,%,0009Q3,15,1.1791995072840677
Sim3,IM,%,0009Q4,16,1.2130609432162203
Sim3,IM,%,0010Q1,17,1.2489239576585476
Sim3,IM,%,0010Q2,18,1.2780381395308638
Sim3,IM,%,0010Q3,19,1.3015364452374882
Sim3,IM,%,0010Q4,20,1.321357485164114
Sim3,CPIXFOR,%,0006Q1,1,-0.050018408315779084
Sim3,CPIXFOR,%,0006Q2,2,-0.059690806560695364
Sim3,CPIXFOR,%,0006Q3,3,-0.061284746644915344
Sim3,CPIXFOR,%,0006Q4,4,-0.0494038240269532
Sim3,CPIXFOR,%,0007Q1,5,-0.014871501686556599
Sim3,CPIXFOR,%,0007Q2,6,0.018860577599141948
Sim3,CPIXFOR,%,0007Q3,7,0.05988316498739721
Sim3,CPIXFOR,%,0007Q4,8,0.10236323341376874
Sim3,CPIXFOR,%,0008Q1,9,0.14661705502010136
Sim3,CPIXFOR,%,0008Q2,10,0.19022937977364052
Sim3,CPIXFOR,%,0008Q3,11,0.23904115168593876
Sim3,CPIXFOR,%,0008Q4,12,0.2876578185797598
Sim3,CPIXFOR,%,0009Q1,13,0.33618951061711755
Sim3,CPIXFOR,%,0009Q2,14,0.3824438344641692
Sim3,CPIXFOR,%,0009Q3,15,0.43278612111036807
Sim3,CPIXFOR,%,0009Q4,16,0.48127285351746707
Sim3,CPIXFOR,%,0010Q1,17,0.5280935022296376
Sim3,CPIXFOR,%,0010Q2,18,0.5709312230333126
Sim3,CPIXFOR,%,0010Q3,19,0.6169192568114852
Sim3,CPIXFOR,%,0010Q4,20,0.6597301136248603
Sim4,GDP,%,0006Q1,1,0.22905459947814677
Sim4,GDP,%,0006Q2,2,0.2456566597842027
Sim4,GDP,%,0006Q3,3,0.2671884926129309
Sim4,GDP,%,0006Q4,4,0.28698212645346644
Sim4,GDP,%,0007Q1,5,0.30215992278060355
Sim4,GDP,%,0007Q2,6,0.32367893912221746
Sim4,GDP,%,0007Q3,7,0.29980225616195355
Sim4,GDP,%,0007Q4,8,0.2839570741408153
Sim4,GDP,%,0008Q1,9,0.2672411876886116
Sim4,GDP,%,0008Q2,10,0.25018517298983056
Sim4,GDP,%,0008Q3,11,0.23301359854703207
Sim4,GDP,%,0008Q4,12,0.2165649854480023
Sim4,GDP,%,0009Q1,13,0.20042868639364997
Sim4,GDP,%,0009Q2,14,0.18512070667038927
Sim4,GDP,%,0009Q3,15,0.17076569572489575
Sim4,GDP,%,0009Q4,16,0.15742650304200367
Sim4,GDP,%,0010Q1,17,0.14506040640749518
Sim4,GDP,%,0010Q2,18,0.13341477619725595
Sim4,GDP,%,0010Q3,19,0.12235990260589347
Sim4,GDP,%,0010Q4,20,0.111883492848591
Sim4,CP,%,0006Q1,1,0.0
Sim4,CP,%,0006Q2,2,-0.01714590864970944
Sim4,CP,%,0006Q3,3,-0.04820175599910215
Sim4,CP,%,0006Q4,4,-0.08432632810651342
Sim4,CP,%,0007Q1,5,-0.12079093357554882
Sim4,CP,%,0007Q2,6,-0.15228580212280463
Sim4,CP,%,0007Q3,7,-0.1810692343521083
Sim4,CP,%,0007Q4,8,-0.2068099878518126
Sim4,CP,%,0008Q1,9,-0.23223870689625414
Sim4,CP,%,0008Q2,10,-0.2572623982622986
Sim4,CP,%,0008Q3,11,-0.28199518825664427
Sim4,CP,%,0008Q4,12,-0.30633845064237164
Sim4,CP,%,0009Q1,13,-0.3301350134450587
Sim4,CP,%,0009Q2,14,-0.3531676882764714
Sim4,CP,%,0009Q3,15,-0.3752212769511374
Sim4,CP,%,0009Q4,16,-0.3960895269180469
Sim4,CP,%,0010Q1,17,-0.4155952655490154
Sim4,CP,%,0010Q2,18,-0.4336016458424581
Sim4,CP,%,0010Q3,19,-0.45001266844063537
Sim4,CP,%,0010Q4,20,-0.46478784335496925
Sim4,INV,%,0006Q1,1,0.07316981687344537
Sim4,INV,%,0006Q2,2,0.20171972094458113
Sim4,INV,%,0006Q3,3,0.30041420569941124
Sim4,INV,%,0006Q4,4,0.36726675460572267
Sim4,INV,%,0007Q1,5,0.34310614176420984
Sim4,INV,%,0007Q2,6,0.3111718101026213
Sim4,INV,%,0007Q3,7,0.2879549010859108
Sim4,INV,%,0007Q4,8,0.2630250579213964
Sim4,INV,%,0008Q1,9,0.2382521494298686
Sim4,INV,%,0008Q2,10,0.21273294627093264
Sim4,INV,%,0008Q3,11,0.18650954360242622
Sim4,INV,%,0008Q4,12,0.15946248653111184
Sim4,INV,%,0009Q1,13,0.13194781973820113
Sim4,INV,%,0009Q2,14,0.10438982067950064
Sim4,INV,%,0009Q3,15,0.07709905297474506
